flight_id,op_type,flight_number,operation_type,scheduled_time,aircraft_type_icao,aircraft_type_iata,airline_iata,origin_icao,destination_icao,predicted_passengers,gate,baggage_belt,flight_type_iata
20260330T014000Z_AY062_A_EFHK,A,AY062,arrival,2026-03-30T04:40:00.000+03:00,A359,359,AY,RJTT,EFHK,212,,3,J
20260330T015500Z_QY3612_A_EFHK,A,QY3612,arrival,2026-03-30T04:55:00.000+03:00,A306,AB6,QY,EDDP,EFHK,,,,F
20260330T022000Z_AY068_A_EFHK,A,AY068,arrival,2026-03-30T05:20:00.000+03:00,A359,359,AY,RJBB,EFHK,216,,3,J
20260330T023000Z_AY042_A_EFHK,A,AY042,arrival,2026-03-30T05:30:00.000+03:00,A359,359,AY,RKSI,EFHK,216,,6,J
20260330T023000Z_BT326_D_EFHK,D,BT326,departure,2026-03-30T05:30:00.000+03:00,BCS3,CS3,BT,EFHK,EVRA,91,,,J
20260330T023500Z_AY100_A_EFHK,A,AY100,arrival,2026-03-30T05:35:00.000+03:00,A359,359,AY,VHHH,EFHK,216,,7,J
20260330T025500Z_AY074_A_EFHK,A,AY074,arrival,2026-03-30T05:55:00.000+03:00,A359,359,AY,RJAA,EFHK,216,,6,J
20260330T030000Z_3U9611_A_EFHK,A,3U9611,arrival,2026-03-30T06:00:00.000+03:00,A332,332,3U,ZUTF,EFHK,,,,X
20260330T030000Z_AY132_A_EFHK,A,AY132,arrival,2026-03-30T06:00:00.000+03:00,A359,359,AY,WSSS,EFHK,211,,3,J
20260330T030000Z_VL2467_D_EFHK,D,VL2467,departure,2026-03-30T06:00:00.000+03:00,A20N,32N,VL,EFHK,EDDM,116,,,J
20260330T031000Z_SK1705_D_EFHK,D,SK1705,departure,2026-03-30T06:10:00.000+03:00,A20N,32N,SK,EFHK,EKCH,123,,,J
20260330T031500Z_AY433_D_EFHK,D,AY433,departure,2026-03-30T06:15:00.000+03:00,A320,320,AY,EFHK,EFOU,123,,,J
20260330T031500Z_D82900_D_EFHK,D,D82900,departure,2026-03-30T06:15:00.000+03:00,B38M,7M8,D8,EFHK,LEBL,147,,,J
20260330T032000Z_AY951_D_EFHK,D,AY951,departure,2026-03-30T06:20:00.000+03:00,A319,319,AY,EFHK,EKCH,98,,,J
20260330T033000Z_AY1046_A_EFHK,A,AY1046,arrival,2026-03-30T06:30:00.000+03:00,AT75,,AY,EETU,EFHK,38,,12,J
20260330T033000Z_AY1676_A_EFHK,A,AY1676,arrival,2026-03-30T06:30:00.000+03:00,A320,320,AY,LEMG,EFHK,102,,6,J
20260330T033500Z_AY1036_A_EFHK,A,AY1036,arrival,2026-03-30T06:35:00.000+03:00,E190,E90,AY,EETN,EFHK,66,,8,J
20260330T033500Z_AY350_A_EFHK,A,AY350,arrival,2026-03-30T06:35:00.000+03:00,AT75,,AY,EFJO,EFHK,43,,12,J
20260330T033500Z_AY380_A_EFHK,A,AY380,arrival,2026-03-30T06:35:00.000+03:00,AT75,,AY,EFKU,EFHK,39,,11,J
20260330T033500Z_AY418_A_EFHK,A,AY418,arrival,2026-03-30T06:35:00.000+03:00,AT75,,AY,EFKI,EFHK,40,,10,J
20260330T033500Z_D82882_D_EFHK,D,D82882,departure,2026-03-30T06:35:00.000+03:00,B38M,7M8,D8,EFHK,LEMG,148,,,J
20260330T034000Z_AY290_A_EFHK,A,AY290,arrival,2026-03-30T06:40:00.000+03:00,AT75,,AY,EFJY,EFHK,37,,11,J
20260330T034000Z_AY396_A_EFHK,A,AY396,arrival,2026-03-30T06:40:00.000+03:00,AT75,,AY,EFKK,EFHK,37,,10,J
20260330T034000Z_AY450_A_EFHK,A,AY450,arrival,2026-03-30T06:40:00.000+03:00,A319,319,AY,EFOU,EFHK,92,,2,J
20260330T034500Z_5X292_A_EFHK,A,5X292,arrival,2026-03-30T06:45:00.000+03:00,B763,763,5X,ESSA,EFHK,,,,F
20260330T034500Z_AY1221_D_EFHK,D,AY1221,departure,2026-03-30T06:45:00.000+03:00,E190,E90,AY,EFHK,LKPR,82,,,J
20260330T034500Z_AY1391_D_EFHK,D,AY1391,departure,2026-03-30T06:45:00.000+03:00,E190,E90,AY,EFHK,EDDL,77,,,J
20260330T034500Z_AY540_A_EFHK,A,AY540,arrival,2026-03-30T06:45:00.000+03:00,A321,321,AY,EFRO,EFHK,130,,5,J
20260330T034500Z_AY801_D_EFHK,D,AY801,departure,2026-03-30T06:45:00.000+03:00,A321,321,AY,EFHK,ESSA,133,,,J
20260330T034500Z_RP690_A_EFHK,A,RP690,arrival,2026-03-30T06:45:00.000+03:00,E120,EM2,RP,EFPO,EFHK,12,,3,J
20260330T035000Z_AY1371_D_EFHK,D,AY1371,departure,2026-03-30T06:50:00.000+03:00,A319,319,AY,EFHK,EGPH,101,,,J
20260330T035000Z_AY1421_D_EFHK,D,AY1421,departure,2026-03-30T06:50:00.000+03:00,E190,E90,AY,EFHK,EDDH,80,,,J
20260330T035000Z_AY322_A_EFHK,A,AY322,arrival,2026-03-30T06:50:00.000+03:00,AT75,,AY,EFVA,EFHK,38,,12,J
20260330T035500Z_LH853_D_EFHK,D,LH853,departure,2026-03-30T06:55:00.000+03:00,A20N,32N,LH,EFHK,EDDF,121,,,J
20260330T040000Z_AY1011_D_EFHK,D,AY1011,departure,2026-03-30T07:00:00.000+03:00,AT75,,AY,EFHK,EETN,46,,,J
20260330T040000Z_AY1071_D_EFHK,D,AY1071,departure,2026-03-30T07:00:00.000+03:00,AT75,,AY,EFHK,EVRA,45,,,J
20260330T040000Z_AY512_A_EFHK,A,AY512,arrival,2026-03-30T07:00:00.000+03:00,AT75,,AY,EFKE,EFHK,34,,12,J
20260330T040000Z_AY531_D_EFHK,D,AY531,departure,2026-03-30T07:00:00.000+03:00,A321,321,AY,EFHK,EFRO,129,,,J
20260330T040000Z_DK1376_D_EFHK,D,DK1376,departure,2026-03-30T07:00:00.000+03:00,A321,321,DK,EFHK,LCLK,154,,,C
20260330T040000Z_KL1248_D_EFHK,D,KL1248,departure,2026-03-30T07:00:00.000+03:00,A21N,32Q,KL,EFHK,EHAM,160,,,J
